State Region Tag,State Name,Owner,Owner Tag,Building Type,Level,Production Methods,Owner Type,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_KABUL,,Afghanistan,AFG,building_livestock_ranch,2,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,local,,building_paper_mills,2,pm_bleached_paper pm_watertube_boiler_building_paper_mills,building_manor_house,STATE_KABUL.AFG,building_government_administration,6,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,,,building_tooling_workshops,4,pm_steel pm_rotary_valve_engine_building_tooling_workshops,building_manor_house,STATE_KABUL.AFG,building_chemical_plants,2,pm_improved_fertilizer,country,AFG,building_textile_mills,8,pm_dye_workshops pm_no_luxury_clothes pm_traditional_looms,building_manor_house,STATE_KABUL.AFG,building_furniture_manufacturies,3,pm_lathe pm_no_luxuries pm_automation_disabled,building_manor_house,STATE_KABUL.AFG,building_arms_industry,2,pm_bolt_action_rifles pm_rotary_valve_engine_building_arms_industry,country,AFG,building_arts_academy,3,pm_traditional_art pm_independent_artists,building_manor_house,STATE_KABUL.AFG,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_BALKH,,Afghanistan,AFG,building_livestock_ranch,4,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,building_manor_house,STATE_BALKH.AFG,building_logging_camp,7,pm_saw_mills pm_no_hardwood pm_no_equipment pm_road_carts,local,,building_iron_mine,3,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts,building_manor_house,STATE_BALKH.AFG,building_coal_mine,1,pm_condensing_engine_pump_building_coal_mine pm_nitroglycerin_building_coal_mine pm_steam_donkey_building_coal_mine,building_manor_house,STATE_BALKH.AFG,building_tea_plantation,8,default_building_tea_plantation pm_road_carts,building_manor_house,STATE_BALKH.AFG,building_opium_plantation,5,default_building_opium_plantation pm_road_carts,local,,building_wheat_farm,3,pm_fertilization pm_no_secondary pm_tools,building_manor_house,STATE_BALKH.AFG,building_cotton_plantation,3,default_building_cotton_plantation pm_road_carts,building_manor_house,STATE_BALKH.AFG,,,,,,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CENTRAL_HIGHLANDS,,Afghanistan,AFG,building_livestock_ranch,2,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,local,,building_silk_plantation,10,default_building_silk_plantation pm_road_carts,building_manor_house,STATE_CENTRAL_HIGHLANDS.AFG,building_tea_plantation,8,default_building_tea_plantation pm_road_carts,local,,building_wheat_farm,3,pm_fertilization pm_no_secondary pm_tools,local,,,,,,,,,,,,,,,,,,,,,,,,,,,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_HERAT,,Afghanistan,AFG,building_livestock_ranch,4,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,building_manor_house,STATE_HERAT.AFG,,,,,,building_opium_plantation,8,default_building_opium_plantation pm_road_carts,building_manor_house,STATE_HERAT.AFG,building_wheat_farm,6,pm_fertilization pm_no_secondary pm_tools,local,,building_cotton_plantation,12,default_building_cotton_plantation pm_road_carts,building_manor_house,STATE_HERAT.AFG,,,,,,,,,,,,,,,,,,,,,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,building_barracks,1,pm_general_training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_KANDAHAR,,Afghanistan,AFG,building_livestock_ranch,3,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,local,,building_logging_camp,2,pm_saw_mills pm_no_hardwood pm_no_equipment pm_road_carts,local,,building_opium_plantation,12,default_building_opium_plantation pm_road_carts,building_manor_house,STATE_KANDAHAR.AFG,building_wheat_farm,5,pm_fertilization pm_no_secondary pm_tools,building_manor_house,STATE_KANDAHAR.AFG,building_cotton_plantation,3,default_building_cotton_plantation pm_road_carts,local,,,,,,,,,,,,,,,,,,,,,,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,building_barracks,1,pm_general_training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NORTHERN_BALUCHISTAN,,Afghanistan,AFG,building_livestock_ranch,2,pm_slaughterhouses pm_sheep_farms pm_standard_fences pm_unrefrigerated,building_manor_house,STATE_NORTHERN_BALUCHISTAN.AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building_urban_center,1,pm_market_squares pm_no_street_lighting pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ALBANIA,,Albania,ALB,building_railway,1,pm_steam_trains pm_wooden_passenger_carriages,country,ALB,building_port,1,pm_industrial_port,,,building_shipyards,1,pm_metal_shipbuilding,country,ALB,building_paper_mills,1,pm_bleached_paper pm_watertube_boiler_building_paper_mills,country,ALB,building_government_administration,2,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,,,building_tooling_workshops,3,pm_steel pm_rotary_valve_engine_building_tooling_workshops,building_manor_house,STATE_ALBANIA.ALB,building_steel_mills,4,pm_open_hearth_process pm_rotary_valve_engine_building_steel_mills,building_financial_district,STATE_ALBANIA.ALB,building_iron_mine,2,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts,building_manor_house,STATE_ALBANIA.ALB,building_food_industry,2,pm_baking_powder pm_cannery pm_patent_stills,building_manor_house,STATE_ALBANIA.ALB,building_wheat_farm,6,pm_fertilization pm_no_secondary pm_tools,building_manor_house,STATE_ALBANIA.ALB,building_vineyard_plantation,1,default_building_vineyard_plantation pm_road_carts,building_manor_house,STATE_ALBANIA.ALB,building_livestock_ranch,1,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_unrefrigerated,local,,building_urban_center,1,pm_market_squares pm_gas_streetlights pm_no_public_transport,,,building_construction_sector,1,pm_steel_frame_buildings,,,building_textile_mills,3,pm_electric_sewing_machines pm_craftsman_sewing pm_mechanized_looms,building_financial_district,STATE_ALBANIA.ALB,building_furniture_manufacturies,1,pm_lathe pm_precision_tools pm_automation_disabled,building_financial_district,STATE_ALBANIA.ALB,building_chemical_plants,1,pm_improved_fertilizer,building_financial_district,STATE_ALBANIA.ALB,building_arms_industry,1,pm_bolt_action_rifles pm_rotary_valve_engine_building_arms_industry,building_financial_district,STATE_ALBANIA.ALB,building_munition_plants,1,pm_explosive_shells pm_rotary_valve_engine_building_munition_plants,building_financial_district,STATE_ALBANIA.ALB,building_logging_camp,3,pm_saw_mills pm_no_hardwood pm_steam_donkey_building_logging_camp pm_road_carts,building_manor_house,STATE_ALBANIA.ALB,building_fishing_wharf,1,pm_fishing_trawlers pm_unrefrigerated,local,,building_barracks,1,pm_advanced_tactics_training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_BLUE_NILE,,Anglo-Egyptian Sudan,SUD,building_wheat_farm,5,pm_fertilization pm_no_secondary pm_tools,building_manor_house,STATE_BLUE_NILE.SUD,building_livestock_ranch,1,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_unrefrigerated,local,,building_tobacco_plantation,3,default_building_tobacco_plantation pm_road_carts,building_manor_house,STATE_EAST_ANGLIA.GBR,building_railway,1,pm_steam_trains pm_no_passenger_trains,building_financial_district,STATE_HOME_COUNTIES.GBR,building_urban_center,1,pm_market_squares pm_gas_streetlights pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,building_barracks,1,pm_advanced_tactics_training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_DARFUR,,Anglo-Egyptian Sudan,SUD,,,,,,,,,,,,,,,,building_railway,1,pm_steam_trains pm_no_passenger_trains,building_financial_district,STATE_HOME_COUNTIES.GBR,building_urban_center,1,pm_market_squares pm_gas_streetlights pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_DONGOLA,,Anglo-Egyptian Sudan,SUD,building_port,1,pm_industrial_port,,,,,,,,,,,,,building_railway,1,pm_steam_trains pm_no_passenger_trains,building_financial_district,STATE_HOME_COUNTIES.GBR,building_urban_center,1,pm_market_squares pm_gas_streetlights pm_no_public_transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
